City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,birjand,32.87,59.22,86.0,2,0,4.7,IR,1600517812
256,faanui,-16.48,-151.75,77.59,80,3,18.39,PF,1600518016
257,evensk,61.95,159.23,41.81,67,93,6.53,RU,1600518016
258,noyabrsk,63.2,75.45,46.83,80,97,9.89,RU,1600518016
259,mount gambier,-37.83,140.77,68.0,64,90,19.46,AU,1600518016
260,malakal,9.53,31.66,90.45,56,83,6.13,SS,1600518017
261,iquique,-20.22,-70.14,59.0,67,90,4.7,CL,1600518017
262,espinosa,-14.93,-42.82,83.71,34,0,5.59,BR,1600518017
263,nome,64.5,-165.41,44.6,81,90,20.8,US,1600518017
264,mecca,21.43,39.83,108.1,14,0,17.76,SA,1600518017
265,ukiah,39.15,-123.21,57.2,82,1,3.06,US,1600517970
266,necochea,-38.55,-58.74,46.0,72,62,8.01,AR,1600518017
267,bambous virieux,-20.34,57.76,75.2,57,75,17.22,MU,1600518018
268,brindisi,40.58,17.67,86.0,37,97,18.34,IT,1600518018
269,comodoro rivadavia,-45.87,-67.5,41.0,41,6,16.11,AR,1600517844
270,severo-kurilsk,50.68,156.12,50.99,92,100,11.86,RU,1600518019
271,villazon,-22.09,-65.59,49.06,54,0,2.98,BO,1600518019
272,cayenne,4.93,-52.33,80.6,88,95,10.78,GF,1600517793
273,port moresby,-9.44,147.18,78.8,88,75,5.82,PG,1600518019
274,portales,34.19,-103.33,53.01,66,1,4.7,US,1600518019
275,karratha,-20.74,116.85,72.68,67,19,16.33,AU,1600517767
276,villa bruzual,9.33,-69.12,76.8,86,15,2.73,VE,1600518019
277,tabou,4.42,-7.35,79.39,75,87,7.65,CI,1600518020
278,price,39.6,-110.81,62.6,21,1,1.68,US,1600517881
279,alofi,-19.06,-169.92,71.6,94,18,12.75,NU,1600518020
280,tevaitoa,-16.78,-151.5,78.66,77,2,18.99,PF,1600518020
281,mana,5.66,-53.78,82.38,74,100,10.42,GF,1600518020
282,raga,8.46,25.68,85.01,65,100,3.85,SS,1600518020
283,dingle,11.0,122.67,78.3,84,6,5.01,PH,1600518021
284,bahia de caraquez,-0.6,-80.42,71.6,88,90,9.17,EC,1600518021
285,itarema,-2.92,-39.92,82.02,68,97,15.35,BR,1600518021
286,belaya gora,68.53,146.42,37.81,84,81,6.2,RU,1600518021
287,port augusta,-32.5,137.77,62.6,88,90,6.93,AU,1600518022
288,libreville,0.39,9.45,82.4,78,75,6.93,GA,1600518022
289,aykhal,66.0,111.5,50.0,43,0,6.71,RU,1600518022
290,fukue,32.69,128.84,74.26,54,100,12.41,JP,1600518022
291,black river,18.03,-77.85,84.2,79,20,2.24,JM,1600518022
292,liling,27.67,113.5,73.4,78,76,2.24,CN,1600518023
293,bilibino,68.05,166.44,28.13,95,87,4.54,RU,1600518023
294,komsomolets,53.75,62.07,61.72,49,100,11.16,KZ,1600518023
295,waingapu,-9.66,120.26,77.0,82,69,1.72,ID,1600518023
296,vestmannaeyjar,63.44,-20.27,50.0,71,40,28.86,IS,1600518023
297,tineo,43.34,-6.41,63.0,93,75,3.36,ES,1600518023
298,klaksvik,62.23,-6.59,50.0,100,90,5.82,FO,1600518024
299,dovolnoye,54.5,79.67,56.64,70,93,11.16,RU,1600518024
300,yaan,7.38,8.57,82.94,77,79,4.16,NG,1600518024
301,aksu,41.12,80.26,70.79,34,98,5.21,CN,1600518024
302,chippewa falls,44.94,-91.39,41.0,92,1,3.36,US,1600518004
303,khandagayty,50.73,92.05,47.79,60,75,2.68,RU,1600518024
304,sao joao da barra,-21.64,-41.05,75.2,73,76,16.11,BR,1600518025
305,tabas,33.6,56.92,94.12,9,0,12.8,IR,1600518025
306,inverell,-29.78,151.12,64.0,70,100,5.01,AU,1600518025
307,norfolk,42.17,-71.25,48.99,57,1,3.36,US,1600518025
308,mangrol,21.12,70.12,85.87,74,19,8.86,IN,1600518026
309,awbari,26.59,12.78,94.66,14,0,9.95,LY,1600518026
310,arlit,18.74,7.39,104.38,11,0,10.83,NE,1600518026
311,quesnel,53.0,-122.5,55.4,100,90,8.05,CA,1600517823
312,prince rupert,54.32,-130.32,53.6,100,90,2.24,CA,1600518027
313,tautira,-17.73,-149.15,75.2,78,20,3.36,PF,1600518027
314,rantepao,-2.97,119.9,68.14,82,4,1.9,ID,1600518027
315,rayagada,19.17,83.42,83.05,82,77,1.39,IN,1600518028
316,phulpur,25.55,82.1,88.5,69,38,6.38,IN,1600518028
317,marystown,47.17,-55.15,57.0,100,100,1.99,CA,1600518028
318,kastamonu,41.5,33.67,73.33,40,57,2.98,TR,1600518028
319,tomatlan,19.93,-105.25,76.23,91,68,2.24,MX,1600518028
320,mpanda,-6.37,31.04,97.77,15,53,6.04,TZ,1600518028
321,rena,61.13,11.36,62.01,60,3,1.99,NO,1600518029
322,merauke,-8.47,140.33,78.69,85,48,15.52,ID,1600518029
323,kahului,20.89,-156.47,80.6,54,1,18.34,US,1600518029
324,kyenjojo,0.63,30.62,81.25,44,46,0.51,UG,1600518029
325,rocky mountain house,52.37,-114.92,49.17,79,99,2.04,CA,1600518030
326,capao da canoa,-29.75,-50.01,67.23,79,2,10.85,BR,1600518030
327,eydhafushi,5.1,73.07,82.8,78,95,14.47,MV,1600518030
328,east london,-33.02,27.91,68.0,56,2,12.75,ZA,1600518030
329,vanimo,-2.67,141.3,79.11,82,46,4.9,PG,1600518031
330,iisalmi,63.56,27.19,46.4,81,75,20.8,FI,1600518031
331,tiksi,71.69,128.87,46.74,62,0,17.98,RU,1600518032
332,asau,46.43,26.4,70.0,30,87,8.05,RO,1600518032
333,kostomuksha,64.57,30.58,43.97,74,98,14.07,RU,1600518032
334,porto novo,6.5,2.6,80.6,74,20,5.82,BJ,1600517810
335,shevchenkove,49.7,37.17,62.6,36,1,13.42,UA,1600518032
336,murray bridge,-35.12,139.27,61.0,86,74,1.01,AU,1600518033
337,alyangula,-13.85,136.42,78.8,78,38,3.36,AU,1600518033
338,poum,-20.23,164.02,72.46,73,66,22.88,NC,1600518033
339,boyolangu,-8.12,111.89,76.28,88,58,4.29,ID,1600518034
340,victoria,22.29,114.16,82.99,88,40,8.05,HK,1600518034
341,penha,-26.77,-48.65,68.0,88,75,10.29,BR,1600518034
342,half moon bay,37.46,-122.43,62.6,93,90,3.6,US,1600518035
343,tigzirt,36.89,4.12,82.44,62,30,9.64,DZ,1600518035
344,fort nelson,58.81,-122.7,42.8,100,20,2.24,CA,1600518035
345,saint anthony,45.02,-93.22,48.0,75,1,4.7,US,1600518035
346,bimbo,4.26,18.42,82.4,74,75,9.17,CF,1600518036
347,touros,-5.2,-35.46,80.6,69,75,13.87,BR,1600518036
348,bathsheba,13.22,-59.52,84.2,79,40,8.05,BB,1600518036
349,constitucion,-35.33,-72.42,48.67,51,7,9.37,CL,1600518036
350,tafresh,34.69,50.01,84.0,13,0,1.43,IR,1600518036
351,lavrentiya,65.58,-171.0,41.4,86,100,5.68,RU,1600518036
352,lebu,-37.62,-73.65,43.97,69,0,16.53,CL,1600518037
353,berdigestyakh,62.1,126.7,43.52,76,0,2.13,RU,1600518037
354,khandyga,62.67,135.6,45.0,67,2,4.41,RU,1600517833
355,egvekinot,66.32,-179.17,31.95,96,81,4.63,RU,1600518037
356,brae,60.4,-1.35,53.6,100,75,2.24,GB,1600518037
357,phan thiet,10.93,108.1,79.97,79,100,1.68,VN,1600518037
358,vila franca do campo,37.72,-25.43,73.4,64,20,10.29,PT,1600518038
359,haines junction,60.75,-137.51,38.66,83,19,1.39,CA,1600518038
360,porto seguro,-16.45,-39.06,75.2,73,40,4.7,BR,1600518038
361,rawson,-43.3,-65.1,46.08,53,2,16.73,AR,1600518038
362,tromso,69.65,18.96,42.8,75,75,16.11,NO,1600518038
363,arona,28.1,-16.68,80.6,57,20,21.92,ES,1600518038
364,grants,35.15,-107.85,44.6,56,1,6.93,US,1600518039
365,puerto escondido,15.85,-97.07,73.4,83,90,5.82,MX,1600518039
366,kloulklubed,7.04,134.26,78.8,83,75,3.36,PW,1600518039
367,kununurra,-15.77,128.73,86.0,55,74,8.05,AU,1600517833
368,port-cartier,50.03,-66.87,42.01,75,20,5.82,CA,1600518039
369,tura,25.52,90.22,81.43,88,43,1.63,IN,1600518039
370,atar,20.52,-13.05,99.77,27,0,2.37,MR,1600518040
371,dicabisagan,17.08,122.42,81.39,80,29,4.59,PH,1600518040
372,kangalassy,62.35,129.96,46.4,52,0,6.71,RU,1600518040
373,skjervoy,70.03,20.97,44.58,72,100,30.76,NO,1600518040
374,griffith,41.53,-87.42,44.6,80,1,6.35,US,1600517860
375,coronado,32.69,-117.18,69.01,82,1,5.95,US,1600518040
376,ellisras,-23.66,27.74,94.46,13,0,6.93,ZA,1600518041
377,wilhelmshaven,53.52,8.13,66.2,42,100,13.87,DE,1600518041
378,santa cruz,-17.8,-63.17,75.2,83,31,11.41,BO,1600517919
379,cruzeiro do sul,-29.51,-51.99,64.0,100,2,2.13,BR,1600518041
380,bolobo,-2.17,16.23,78.82,72,100,3.96,CD,1600518041
381,solnechnyy,50.72,136.63,45.55,91,100,6.17,RU,1600518041
